Breed,breedCode2,Group,HeadWeight,ForequartersWeight,HindquartersWeight,GaitWeight,CoatWeight,SizeWeight,TemperamentWeight,ShowShineWeight,FeetWeight,ToplineWeight,RulesVersion,IsActive,Source,Notes
Taiwan Dog,TD,Non-Sporting,11.34,10.31,10.31,11.34,10.31,10.31,11.34,5.15,9.28,10.31,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,Source Suggested % total was 97.00; explicitly proportionally normalized to 100.00 for JUDGE-01 validation.
Grand Basset Griffon Vendeen,GV,Hound,11.00,10.00,10.00,10.00,11.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
American Hairless Terrier,AH,Terrier,11.00,10.00,10.00,10.00,11.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Irish Terrier,IT,Terrier,10.00,11.00,11.00,11.00,10.00,10.00,10.00,7.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Soft Coated Wheaten Terrier,SN,Terrier,8.00,10.00,10.00,10.00,12.00,10.00,10.00,10.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Azawakh,AZ,Hound,11.00,11.00,11.00,11.00,8.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Anatolian Shepherd,AN,Working,10.00,11.00,11.00,10.00,9.00,11.00,11.00,7.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Miniature Bull Terrier,MB,Terrier,12.00,10.00,10.00,10.00,9.00,10.00,11.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Cairn Terrier,CT,Terrier,11.00,10.00,10.00,10.00,11.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Glen of Imaal Terrier,GI,Terrier,10.00,11.00,11.00,10.00,10.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Lowchen,LW,Non-Sporting,11.00,9.00,9.00,9.00,13.00,10.00,10.00,10.00,9.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Thai Ridgeback,TR,Non-Sporting,11.00,10.00,10.00,11.00,13.00,10.00,10.00,5.00,9.00,11.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Belgian Laekenois,LK,Herding,8.00,11.00,11.00,10.00,11.00,10.00,10.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Pumi,PX,Herding,11.00,10.00,10.00,10.00,10.00,10.00,10.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Kangal Dog,KG,Working,11.12,10.10,10.10,10.10,11.11,11.11,11.11,5.05,9.09,11.11,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,Source Suggested % total was 99.00; explicitly proportionally normalized to 100.00 for JUDGE-01 validation.
Central Asian Shepherd,CA,Working,11.00,11.00,10.00,10.00,11.00,11.00,11.00,5.00,9.00,11.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Bouvier des Ardennes,BA,Herding,11.23,10.21,10.20,10.20,11.23,10.20,10.20,6.12,9.18,11.23,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,Source Suggested % total was 98.00; explicitly proportionally normalized to 100.00 for JUDGE-01 validation.
New Guinea Singing Dog,NG,Non-Sporting,12.25,10.21,10.20,12.25,10.20,9.18,12.25,4.08,9.18,10.20,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,Source Suggested % total was 98.00; explicitly proportionally normalized to 100.00 for JUDGE-01 validation.
Drever,DR,Hound,10.00,12.00,10.00,12.00,9.00,12.00,9.00,5.00,9.00,12.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Porcelaine,PO,Hound,12.13,11.11,9.09,11.11,11.11,9.09,9.09,7.07,9.09,11.11,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,Source Suggested % total was 99.00; explicitly proportionally normalized to 100.00 for JUDGE-01 validation.
Bluetick Coonhound,BK,Hound,10.00,11.00,11.00,11.00,9.00,11.00,10.00,7.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Skye Terrier,SJ,Terrier,10.00,10.00,10.00,9.00,12.00,10.00,10.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Mudi,MI,Herding,11.00,10.00,10.00,10.00,10.00,10.00,10.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Bergamasco Sheepdog,BP,Herding,10.00,10.00,10.00,9.00,13.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Appenzeller Sennenhund,AD,Working,10.31,10.31,10.31,10.31,10.31,9.28,12.37,7.21,9.28,10.31,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,Source Suggested % total was 97.00; explicitly proportionally normalized to 100.00 for JUDGE-01 validation.
Saarloos Wolfdog,SF,Working,11.34,10.31,10.31,11.34,10.31,10.31,11.34,5.15,9.28,10.31,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,Source Suggested % total was 97.00; explicitly proportionally normalized to 100.00 for JUDGE-01 validation.
Azores Cattle Dog,AC,Herding,11.11,11.11,11.11,9.09,9.09,9.09,12.13,7.07,9.09,11.11,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,Source Suggested % total was 99.00; explicitly proportionally normalized to 100.00 for JUDGE-01 validation.
Fila Brasileiro,FA,Working,12.25,10.21,10.20,9.18,9.18,12.25,12.25,5.10,9.18,10.20,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,Source Suggested % total was 98.00; explicitly proportionally normalized to 100.00 for JUDGE-01 validation.
Thai Bangkaew Dog,TA,Non-Sporting,10.31,10.31,10.31,10.31,12.37,10.31,10.31,6.18,9.28,10.31,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,Source Suggested % total was 97.00; explicitly proportionally normalized to 100.00 for JUDGE-01 validation.
Podenco Andaluz,PA,Hound,10.42,10.42,10.42,11.46,10.42,10.41,11.46,5.21,9.37,10.41,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,Source Suggested % total was 96.00; explicitly proportionally normalized to 100.00 for JUDGE-01 validation.
Artois Hound,AR,Hound,11.23,11.23,9.18,11.23,9.18,9.18,11.23,7.14,9.18,11.22,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,Source Suggested % total was 98.00; explicitly proportionally normalized to 100.00 for JUDGE-01 validation.
Cesky Terrier,CY,Terrier,10.00,10.00,10.00,10.00,11.00,10.00,10.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Lakeland Terrier,LT,Terrier,8.00,11.00,11.00,11.00,11.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Sealyham Terrier,SE,Terrier,8.00,11.00,11.00,10.00,11.00,10.00,10.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Rat Terrier,RA,Terrier,11.00,10.00,10.00,10.00,9.00,12.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Entlebucher Mountain Dog,EN,Working,10.00,11.00,11.00,10.00,9.00,11.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Caucasian Shepherd,CS,Working,11.00,11.00,10.00,10.00,11.00,11.00,11.00,5.00,9.00,11.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Perro de Presa Canario,PD,Working,12.37,10.31,10.31,10.31,9.28,10.31,12.37,5.15,9.28,10.31,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,Source Suggested % total was 97.00; explicitly proportionally normalized to 100.00 for JUDGE-01 validation.
Pyrenean Shepherd,PY,Herding,10.00,10.00,10.00,10.00,11.00,10.00,10.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
South Russian Ovcharka,SR,Herding,10.00,10.00,10.00,12.00,16.00,11.00,11.00,3.00,5.00,12.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Basque Shepherd,AA,Herding,9.00,11.00,11.00,14.00,15.00,8.00,14.00,3.00,5.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Hamiltonstovare,HS,Hound,13.00,11.00,11.00,14.00,10.00,14.00,7.00,3.00,6.00,11.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Black Norwegian Elkhound,BN,Hound,10.00,10.00,10.00,10.00,11.00,10.00,10.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Treeing Walker Coonhound,TW,Hound,10.00,11.00,11.00,11.00,9.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Bullmastiff,BF,Working,10.00,11.00,11.00,10.00,9.00,11.00,11.00,7.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Rough Collie,RC,Herding,9.00,10.00,10.00,10.00,11.00,10.00,10.00,10.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,Source breed label 'Collie' mapped to canonical breeds.csv name 'Rough Collie'.
Tosa Inu,TI,Working,14.00,12.00,12.00,14.00,5.00,10.00,14.00,2.00,6.00,11.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Cirneco dell'Etna,CE,Hound,11.00,10.00,10.00,11.00,9.00,11.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,Source breed label 'Cirneco dell’Etna' mapped to canonical breeds.csv name 'Cirneco dell'Etna'.
Norwegian Elkhound,NE,Hound,10.00,10.00,10.00,10.00,11.00,10.00,10.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Sloughi,SG,Hound,11.00,11.00,11.00,11.00,8.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Podenco Canario,PC,Hound,12.00,12.00,12.00,18.00,6.00,8.00,8.00,3.00,7.00,14.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Portuguese Podengo,PZ,Hound,11.00,10.00,10.00,12.00,9.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Finnish Spitz,FS,Hound,12.00,10.00,10.00,10.00,10.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Karelian Bear Dog,KD,Hound,13.00,10.00,10.00,15.00,12.00,12.00,12.00,2.00,5.00,9.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Halden Hound,HH,Hound,11.00,12.00,12.00,16.00,9.00,11.00,7.00,3.00,8.00,11.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Hygen Hound,HY,Hound,12.00,10.00,11.00,13.00,10.00,11.00,5.00,5.00,6.00,17.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Grand Bleu de Gascogne,GB,Hound,18.00,9.00,9.00,10.00,16.00,10.00,8.00,2.00,5.00,13.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Rhodesian Ridgeback,RR,Hound,10.00,11.00,11.00,11.00,9.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Alaskan Klee Kai,KK,Non-Sporting,10.00,10.00,10.00,10.00,11.00,10.00,10.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Bolognese,ZB,Toy,11.00,9.00,9.00,9.00,13.00,10.00,10.00,10.00,9.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Czechoslovakian Vlciak,VL,Working,10.00,11.00,11.00,11.00,9.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Japanese Akitainu,JA,Non-Sporting,10.00,10.00,10.00,10.00,10.00,11.00,10.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
German Spitz,GG,Non-Sporting,11.00,9.00,9.00,10.00,12.00,10.00,10.00,10.00,9.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Kai Ken,KN,Working,11.00,10.00,10.00,10.00,10.00,10.00,10.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Norrbottenspets,NB,Hound,13.00,11.00,11.00,14.00,11.00,10.00,9.00,2.00,5.00,14.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet3,Source breed label 'Norrbottenspetz' mapped to canonical breeds.csv name 'Norrbottenspets'.
Pyrenean Mastiff,PN,Working,8.00,11.00,11.00,10.00,10.00,10.00,11.00,8.00,11.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Yakutian Laika,YL,Working,10.00,10.00,10.00,10.00,11.00,10.00,10.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Australian Cattle Dog,YY,Herding,10.00,11.00,11.00,11.00,9.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
English Cocker,QM,Sporting,11.00,10.00,10.00,10.00,10.00,10.00,10.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,Source breed label 'English Cocker Spaniel' mapped to canonical breeds.csv name 'English Cocker'.
American Cocker,QE,Sporting,9.00,10.00,10.00,10.00,10.00,11.00,10.00,10.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,Source breed label 'Cocker Spaniel' mapped to canonical breeds.csv name 'American Cocker'.
American Water Spaniel,AW,Sporting,10.00,10.00,10.00,10.00,12.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Boykin Spaniel,YK,Sporting,6.00,11.00,11.00,11.00,9.00,11.00,11.00,8.00,11.00,11.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Clumber Spaniel,CL,Sporting,11.00,11.00,11.00,10.00,9.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Cocker Spaniel,QK,Sporting,9.00,10.00,10.00,10.00,10.00,11.00,10.00,10.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
English Cocker Spaniel,EG,Sporting,11.00,10.00,10.00,10.00,10.00,10.00,10.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
English Springer Spaniel,ER,Sporting,8.00,11.00,11.00,11.00,10.00,10.00,10.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
American English Coonhound,EC,Hound,10.00,11.00,11.00,11.00,9.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Dachshund,DH,Hound,11.00,11.00,10.00,9.00,10.00,10.00,10.00,8.00,11.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Black Russian Terrier,QR,Working,10.00,10.00,10.00,10.00,11.00,10.00,10.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Bichon Frise,ZF,Non-Sporting,12.00,9.00,9.00,9.00,12.00,9.00,11.00,11.00,9.00,9.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Chinese Shar-Pei,ZX,Non-Sporting,13.00,10.00,10.00,9.00,10.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Bearded Collie,VC,Herding,11.00,10.00,10.00,10.00,11.00,9.00,10.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Cardigan Welsh Corgi,WC,Herding,10.00,11.00,11.00,10.00,9.00,11.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Collie,OL,Herding,9.00,10.00,10.00,10.00,11.00,10.00,10.00,10.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Field Spaniel,FD,Sporting,11.00,10.00,10.00,10.00,10.00,10.00,10.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Irish Red and White Setter,RW,Sporting,11.00,10.00,10.00,10.00,10.00,10.00,10.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Irish Water Spaniel,UW,Sporting,10.00,10.00,10.00,10.00,12.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
German Pinscher,GN,Working,11.00,10.00,10.00,12.00,9.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Giant Schnauzer,GZ,Working,9.00,11.00,11.00,10.00,11.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Great Pyrenees,GY,Working,9.00,10.00,10.00,10.00,11.00,11.00,10.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Kuvasz,KU,Working,13.00,10.00,10.00,13.00,11.00,10.00,11.00,5.00,7.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Mastiff,MF,Working,10.00,11.00,11.00,9.00,9.00,12.00,11.00,7.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Neapolitan Mastiff,NM,Working,11.00,11.00,11.00,9.00,9.00,11.00,11.00,7.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Miniature Schnauzer,MZ,Terrier,8.00,10.00,10.00,10.00,11.00,11.00,10.00,10.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Norwegian Lundehund,NL,Non-Sporting,11.00,10.00,10.00,10.00,9.00,10.00,10.00,8.00,12.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Icelandic Sheepdog,IC,Herding,11.00,10.00,10.00,10.00,10.00,10.00,10.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Norwegian Buhund,NR,Herding,11.00,10.00,10.00,10.00,10.00,10.00,10.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Sussex Spaniel,SU,Sporting,11.00,11.00,11.00,10.00,10.00,10.00,9.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Welsh Springer Spaniel,WE,Sporting,13.00,10.00,10.00,10.00,9.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Wirehaired Pointing Griffon,WG,Sporting,10.00,10.00,10.00,10.00,12.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Plott,LP,Hound,10.00,11.00,11.00,11.00,9.00,10.00,10.00,7.00,11.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Portuguese Podengo Pequeno,QQ,Hound,13.00,10.00,10.00,10.00,9.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Portuguese Water Dog,WD,Working,9.00,10.00,10.00,10.00,12.00,10.00,10.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Standard Schnauzer,ZS,Working,9.00,10.00,10.00,10.00,11.00,11.00,10.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Russell Terrier,RU,Terrier,11.00,10.00,10.00,10.00,9.00,12.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Smooth Fox Terrier,XF,Terrier,11.00,11.00,11.00,11.00,9.00,10.00,10.00,7.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Wire Fox Terrier,WF,Terrier,8.00,11.00,11.00,11.00,11.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Pug,UG,Toy,15.00,9.00,9.00,8.00,9.00,11.00,12.00,9.00,9.00,9.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Silky Terrier,SQ,Toy,10.00,10.00,10.00,10.00,11.00,10.00,10.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Pembroke Welsh Corgi,PW,Herding,10.00,11.00,11.00,10.00,9.00,11.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Basset Fauve de Bretagne,FV,Hound,11.00,10.00,10.00,10.00,10.00,11.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Silken Windhound,RD,Hound,10.00,11.00,12.00,15.00,15.00,8.00,9.00,3.00,5.00,12.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Danish-Swedish Farmdogs,FW,Working,13.00,10.00,10.00,10.00,9.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,Source breed label 'Danish-Swedish Farmdog' mapped to canonical breeds.csv name 'Danish-Swedish Farmdogs'.
Toy Manchester Terrier,TC,Toy,11.00,10.00,10.00,10.00,9.00,12.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Teddy Roosevelt Terrier,TE,Terrier,13.00,10.00,10.00,10.00,9.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Spanish Water Dog,WA,Herding,10.00,10.00,10.00,10.00,12.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Russian Tsvetnaya Bolonka,RE,Toy,11.00,9.00,9.00,9.00,12.00,12.00,10.00,9.00,9.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Nederlandse Kooikerhondje,ND,Sporting,11.00,10.00,10.00,10.00,10.00,10.00,10.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Miniature American Shepherd,MA,Herding,11.00,10.00,10.00,10.00,10.00,10.00,10.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Lancashire Heeler,LH,Herding,13.00,10.00,10.00,10.00,9.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Berger Picard,PJ,Herding,11.00,10.00,10.00,10.00,10.00,10.00,10.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Barbet,TG,Sporting,11.00,10.00,10.00,10.00,12.00,10.00,10.00,7.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Hovawart,HO,Working,12.00,10.00,10.00,11.00,11.00,10.00,11.00,6.00,9.00,10.00,breed-judging-v1,TRUE,Hovawart_Scores(1).xlsx,
Nenets Herding Laika,LN,Herding,10.68,9.71,9.71,10.68,11.65,10.68,10.68,4.85,10.68,10.68,breed-judging-v1,TRUE,Nenets Herding Laika_Scores(1).xlsx,Source Suggested % total was 103.00; explicitly proportionally normalized to 100.00 for JUDGE-01 validation.
American Leopard Hound,AL,Hound,12.00,12.00,10.00,12.00,9.00,10.00,10.00,5.00,10.00,10.00,breed-judging-v1,TRUE,New_Breeds_10_Criteria_Scores_MissingUpdated(2).xlsx,
Australian Kelpie,AI,Herding,11.00,11.00,11.00,11.00,9.00,10.00,11.00,6.00,10.00,10.00,breed-judging-v1,TRUE,New_Breeds_10_Criteria_Scores_MissingUpdated(2).xlsx,
Australian Stumpy Tail Cattle Dog,AQ,Herding,13.00,10.00,10.00,10.00,9.00,10.00,10.00,6.00,10.00,12.00,breed-judging-v1,TRUE,New_Breeds_10_Criteria_Scores_MissingUpdated(2).xlsx,
Barbado da Terceira,AO,Herding,13.00,10.00,10.00,10.00,12.00,10.00,10.00,6.00,9.00,10.00,breed-judging-v1,TRUE,New_Breeds_10_Criteria_Scores_MissingUpdated(2).xlsx,
Bavarian Mountain Scent Hound,MS,Hound,8.00,11.00,11.00,12.00,9.00,11.00,11.00,7.00,9.00,11.00,breed-judging-v1,TRUE,New_Breeds_10_Criteria_Scores_MissingUpdated(2).xlsx,
Blue Picardy Spaniel,LU,Sporting,12.00,10.00,10.00,10.00,12.00,9.00,10.00,8.00,9.00,10.00,breed-judging-v1,TRUE,New_Breeds_10_Criteria_Scores_MissingUpdated(2).xlsx,
Bohemian Shepherd,OM,Herding,11.00,10.00,10.00,10.00,12.00,10.00,10.00,8.00,9.00,10.00,breed-judging-v1,TRUE,New_Breeds_10_Criteria_Scores_MissingUpdated(2).xlsx,
Braque du Bourbonnais,RQ,Sporting,9.00,11.00,11.00,11.00,9.00,11.00,11.00,7.00,9.00,11.00,breed-judging-v1,TRUE,New_Breeds_10_Criteria_Scores_MissingUpdated(2).xlsx,
Braque Francais Pyrenean,FP,Sporting,9.00,11.00,11.00,11.00,9.00,11.00,11.00,7.00,9.00,11.00,breed-judging-v1,TRUE,New_Breeds_10_Criteria_Scores_MissingUpdated(2).xlsx,
